Date,Gutter_ID,Plant_ID,Soil_Type,Fertilizer,Plant_Age,Dripper_Count,Water_Daily_cc,Ventilation,Height_cm,Growth_Stage,Health_Status,Pest_Flag,Temp_Low,Temp_High,Humidity_Low,Humidity_High,CO2_Low,CO2_High
2025.2.24,1,1-A,1,4,1,6,480,0,1,0,0,0,3.2,41.7,95.2,100,397,588
2025.3.23,1,1-A,1,4,1,6,400,0,1,0,0,0,14.3,36.9,97,100,394,544
2025.3.29,1,1-A,1,4,1,6,320,0,1,0,0,0,9.9,24.8,95.2,100,390,472
2025.4.5,1,1-A,1,4,1,6,0,0,3,1,1,1,14.5,25.3,95.9,100,385,502
2025.4.14,1,1-A,1,4,1,6,100,0,6,1,4,1,11,26.1,95,100,376,500
2025.4.15,1,1-A,1,4,1,6,10,0,6,1,4,1,11.8,29.3,97.1,100,382,439
2025.4.16,1,1-A,1,4,1,6,10,0,6,1,4,1,11.7,36.4,96.6,100,387,474
2025.4.17,1,1-A,1,4,1,6,10,0,7,1,4,1,18.9,25.7,97.4,100,375,460
2025.4.18,1,1-A,1,4,1,6,10,0,7,1,1,1,20.3,38.8,97.9,100,382,456
2025.4.19,1,1-A,1,4,1,6,10,1,8,1,1,1,21.2,54.7,95.4,100,417,593
2025.4.20,1,1-A,1,4,1,6,10,1,8,1,1,1,19.1,25.7,97.9,100,376,458
2025.4.21,1,1-A,1,4,1,6,5,1,8,1,1,1,18.7,37.5,96.7,100,391,467
2025.4.22,1,1-A,1,4,1,6,5,1,8,1,1,1,20.9,28.4,97.2,100,421,543
2025.4.23,1,1-A,1,4,1,6,5,1,8,1,1,1,18.8,37,95.3,100,370,498
2025.4.24,1,1-A,1,4,1,6,5,1,9,1,1,1,17.3,39.6,96.8,100,382,466
2025.4.25,1,1-A,1,4,1,6,5,1,9,1,1,1,16.8,34.5,97.2,100,380,432
2025.4.26,1,1-A,1,4,1,6,5,0,9,1,0,0,13.8,37.3,96.2,100,391,456
2025.4.27,1,1-A,1,4,1,4,50,0,9,1,0,0,14.6,39.8,97,100,384,478
2025.4.28,1,1-A,1,4,1,4,280,0,9,1,0,0,17.1,39.1,95.8,100,377,474
2025.4.29,1,1-A,1,4,1,4,50,0,9,1,0,0,14.9,35.4,96.3,100,380,452
2025.4.30,1,1-A,1,4,1,4,50,0,9,1,0,0,14.8,41,96.8,100,385,476
2025.5.1,1,1-A,1,4,1,4,50,0,9,1,0,0,16.1,33.4,95.2,100,379,496
2025.5.2,1,1-A,1,4,1,4,50,0,9,1,1,0,13.9,35.4,96.7,100,367,485
2025.5.3,1,1-A,1,4,1,4,50,0,9,1,1,1,17,28.3,96.4,100,377,480
2025.5.4,1,1-A,1,4,1,4,15,0,9,1,1,1,13,36.6,95.6,100,379,462
2025.5.5,1,1-A,1,4,1,4,15,0,9,1,1,1,12.5,33,96.2,100,383,471
2025.5.6,1,1-A,1,4,1,4,15,0,9,1,0,1,16.2,27.9,96.5,100,370,473
2025.5.7,1,1-A,1,4,1,4,15,0,9,1,0,1,14.6,36.5,95.6,100,379,459
2025.5.8,1,1-A,1,4,1,4,15,0,9,1,0,0,15.5,38,96.5,100,387,474
2025.5.9,1,1-A,1,4,1,4,15,0,9,1,0,0,17.1,24.8,97.7,100,397,578
2025.5.10,1,1-A,1,4,1,4,200,0,10,1,0,0,17.8,30,94.9,100,368,521
